Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
184	Spectrogram 1	2	1498.740273966	1498.882679026	5025.773	15927.835	0.1424	-67.71	7500.000	No		1	
185	Spectrogram 1	2	1498.943709766	1499.098829564	5489.691	9896.907	0.1551	-73.24	6328.125	No		1	
186	Spectrogram 1	2	1499.960207243	1500.087354618	2783.505	13376.289	0.1271	-69.39	6093.750	No		3	
187	Spectrogram 1	2	1500.171271886	1500.265360943	4871.134	10670.103	0.0941	-71.56	6679.688	No		2	
188	Spectrogram 1	2	1502.004520866	1502.129125294	3556.701	11520.619	0.1246	-76.67	4687.500	No		3	
189	Spectrogram 1	2	1502.220671404	1502.317303409	6262.887	8814.433	0.0966	-85.58	6679.688	No		3	
190	Spectrogram 1	2	1505.182772908	1505.287033755	3479.381	10206.186	0.1043	-71.52	3750.000	No		3	
191	Spectrogram 1	2	1505.386208708	1505.518441978	6411.609	9023.747	0.1322	-78.83	7031.250	No		2	
192	Spectrogram 1	2	1505.858282742	1505.970172432	1741.425	7994.723	0.1119	-76.30	2929.688	No		3	
193	Spectrogram 1	2	1506.099862754	1506.183780022	6569.921	8786.280	0.0839	-80.16	7968.750	No		3	
194	Spectrogram 1	2	1506.753400261	1506.847489319	1424.802	7678.100	0.0941	-71.73	1992.188	No		3	
195	Spectrogram 1	2	1507.909311006	1507.983056484	5540.897	7757.256	0.0737	-77.50	6562.500	No		3	
196	Spectrogram 1	2	1508.084774384	1508.163605756	5620.053	8311.346	0.0788	-73.24	5976.562	No		2	
197	Spectrogram 1	2	1508.534876091	1508.646765781	3087.071	9894.459	0.1119	-66.32	7031.250	No		2	
198	Spectrogram 1	2	1508.728140101	1508.911232321	6015.831	8311.346	0.1831	-71.18	6210.938	No		2	
199	Spectrogram 1	2	1510.601843564	1510.723905044	3562.005	12427.441	0.1221	-64.41	6796.875	No		2	
200	Spectrogram 1	2	1510.790021679	1510.947684424	5699.208	10448.549	0.1577	-76.62	6210.938	No		2	
201	Spectrogram 1	2	1512.968239523	1513.321994475	2040.408	14493.930	0.3538	-59.50	3046.875	No		3	
202	Spectrogram 1	2	1515.616712998	1515.707419396	2462.561	11749.934	0.0907	-57.26	3281.250	No		2	
203	Spectrogram 1	2	1515.825337713	1515.916044111	6754.453	12875.676	0.0907	-69.29	9843.750	No		2	
204	Spectrogram 1	2	1516.628089336	1516.732401693	422.153	39189.898	0.1043	-61.13	8203.125	Yes - DC		2	
205	Spectrogram 1	2	1517.504980415	1517.582080854	3025.432	9428.090	0.0771	-71.18	5507.812	No		2	
206	Spectrogram 1	2	1517.709069811	1517.763493650	5699.070	7739.477	0.0544	-70.56	6445.312	No		2	
207	Spectrogram 1	2	1517.756690670	1517.806579189	1442.357	14740.186	0.0499	-67.24	3398.438	No		2	
208	Spectrogram 1	2	1517.795240889	1517.872341327	4362.251	14705.007	0.0771	-72.36	7617.188	No		3	
209	Spectrogram 1	2	1517.963047725	1518.080966043	6050.864	14775.366	0.1179	-76.90	11484.375	No		2	
210	Spectrogram 1	2	1518.622447952	1518.735830949	703.589	41582.100	0.1134	-57.76	7851.562	Yes - DC		2	
211	Spectrogram 1	2	1519.280069337	1519.588471090	2743.996	40878.511	0.3084	-64.68	5625.000	No		2	
212	Spectrogram 1	2	1521.266187206	1521.506559161	633.230	36868.055	0.2404	-63.41	7734.375	Yes - DC		2	
213	Spectrogram 1	2	1522.744894792	1522.821995230	4854.763	9146.655	0.0771	-75.94	5742.188	No		2	
214	Spectrogram 1	2	1523.307274460	1523.438798737	1266.460	12805.317	0.1315	-65.08	3515.625	No		2	
215	Spectrogram 1	2	1523.742665170	1523.878724767	1055.383	41933.895	0.1361	-56.98	12890.625	Yes - DC		2	
216	Spectrogram 1	2	1525.546631398	1525.818750592	3095.791	13931.059	0.2721	-66.99	4335.938	No		2	
217	Spectrogram 1	2	1525.972951469	1526.140758305	914.665	41652.459	0.1678	-57.79	20507.812	Yes - DC		2	
218	Spectrogram 1	2	1526.735828559	1527.021553712	5699.070	12805.317	0.2857	-72.64	7734.375	No		2	
219	Spectrogram 1	2	1527.769881496	1527.869658534	2743.996	15901.108	0.0998	-67.95	3632.812	No		2	
220	Spectrogram 1	2	1527.946758972	1528.087353889	5558.352	11046.345	0.1406	-72.22	6328.125	No		2	
221	Spectrogram 1	2	1528.734517993	1528.902324829	3095.791	41582.100	0.1678	-51.97	38085.938	Yes - DC		3	
222	Spectrogram 1	2	1529.446563217	1529.809388809	2321.843	16886.132	0.3628	-64.46	6210.938	No		1	
223	Spectrogram 1	2	1536.342909353	1536.655846426	2782.059	12519.268	0.3129	-72.23	7265.625	No		3	
224	Spectrogram 1	2	1538.384928751	1538.534594307	3338.471	13492.988	0.1497	-64.42	7851.562	No		2	
225	Spectrogram 1	2	1538.589018146	1538.743219023	6398.737	11128.238	0.1542	-68.16	7031.250	No		2	
226	Spectrogram 1	2	1538.752289663	1539.051620776	1947.442	21143.652	0.2993	-58.07	4101.562	Yes - SH		2	
227	Spectrogram 1	2	1539.850871473	1539.959719151	2573.405	11406.444	0.1088	-68.70	3984.375	No		2	
228	Spectrogram 1	2	1540.023213629	1540.209161745	5633.670	10363.172	0.1859	-67.66	5976.562	No		2	
229	Spectrogram 1	2	1541.350789172	1541.826997761	1460.581	25942.705	0.4762	-65.73	3867.188	Yes - SH		2	
230	Spectrogram 1	2	1542.638820024	1542.697779182	3199.368	8902.590	0.0590	-75.12	3515.625	No		2	
231	Spectrogram 1	2	1542.720455782	1542.988039656	5981.428	11197.789	0.2676	-75.16	6679.688	No		2	
232	Spectrogram 1	2	1542.983243137	1543.940195636	17387.872	114885.246	0.9570	-54.10	35156.250	No		2	
